,Questions,Options,Answers
58,"61. During orientation, the nurse speaks with a newly hired CNA about regular vaccination practices.  The CNA states that she received an inßuenza vaccination last year so she doesnÕt need another one.  Which is the best response by the nurse?","a.ÒIf you start to show symptoms, then you should get a shot.Ób.ÒItÕs important because if you get the vaccine you wonÕt get the ßu or pass it to others.Óc.ÒThe virus can change from year-to-year so itÕs important to get it every year.Ód.ÒThe vaccine will work right away so itÕs important to get it now.Ó","c. There is a possibility of getting the ßu even if vaccinated.  Sometimes the similarity 
between the viruses used to make the vaccine and those circulating in the community 
are different. Vaccines take about 2 weeks to take effect.  The vaccine will not prevent 
symptoms in someone whoÕs already infected.  The dominant ßu strain changes 
regularly so receiving a new ßu shot is important. 
"
59,62. The occupational health nurse performs PPD tuberculosis skin tests on newly hired employees.  Which level of prevention does this represent?,a.Primary prevention.b.Collateral prevention.c.Secondary prevention.d.Tertiary prevention.,"c. Secondary prevention aims to reduce the impact of a disease or injury through 
detection.  Primary prevention serves to prevent and tertiary prevention treats or helps a 
patient to recover from a disease. 
"
60,63. The nurse is assigned to receive a patient returning from surgery for a shoulder repair.  Which roommate should the nurse assign this patient to?,a.A patient with diarrhea admitted this morning.b.A patient with cystic Þbrosis receiving postural drainage.c.A patient with CrohnÕs disease receiving azathioprine.d.A patient with azotemia receiving IV ßuids.,"d. A patient prone to post-surgical infection should be placed with a non-infectious 
patient.  The patient with diarrhea could be experiencing a gastrointestinal infection. The 
patient with cystic Þbrosis may have pneumonia and the patient with CrohnÕs disease is 
receiving an immunosuppressant drug and is more prone to infections.
"
61,64. The nurse works in a unit that has no more single-occupancy rooms remaining and the hospital is at capacity.  The nurse is assigned to place a newly admitted patient with pertussis.  Which roommate is the best choice to place the newly admitted with?,a.A patient admitted 12 hours ago with meningitis.b.A patient recovering from a total knee replacement.c.A patient with chicken pox in a negative airßow room.d.A patient with clostridium difÞcile on day three of vancomycin therapy. ,"a.Pertussis and meningitis are both spread through droplet transmission.  The distance 
that droplets can be suspended in air after emanating from a patient, requiring 
masks, is 3-5 feet.  As long as the nurse can ensure that the patients remain this 
distance apart, they can share a room.
"
62,65. The nurse performs health education for the parents of an 18-month-old infant.  Which instructions should the nurse include about regular screening?,a.Screen for lead poisoning at 36 months.b.Regular dental visits begin at 24 months.c.Check for iron-deÞciency at 12 months.d.Hearing screening tests at 48 months.,"b. Regular dental visits should begin at 24 months.  Iron-deÞciency screenings should 
be performed at 6 months, especially if formula-fed.  Hearing should be screened at 
birth and lead poisoning should be checked at 18 - 36 months. 
"
63,66. The nurse cares for a patient set to undergo a lower-extremity venogram.  Which of the following should the nurse alert the procedure team to?,a.Allergy to lobster.b.History of reactive bowel disease.c.Patient becomes dyspneic when prone.d.Allergy to egg whites.,"a. Venograms require contrast dye to image the vessels of the lower extremities.  The 
contrast dye shares a cross-sensitivity to shellÞsh as it is composed of iodine.  The care 
team should be alerted to avoid an allergic reaction.
"
64,67. The nurse must assign a patient with AIDS and a CD4 cell count of 150 cells/mm to a roommate.  Which roommate is the best choice for this patient?,a.A patient preparing for chest tube insertion for an empyema.b.A patient with COPD exacerbation on prednisone.c.A diabetic 2 days after surgery for osteomyelitis.d.A patient recently diagnosed with HuntingtonÕs disease. ,"d. HuntingtonÕs disease is a neurodegenerative genetic disorder that affects muscle 
coordination.  Since the AIDS patient is immunocompromised, placement with a patient 
experiencing a pleural infection, another immunocompromised patient on steroids, and 
a patient recovering from a bone infection would not be appropriate.
"
65,"68. Which of the following substances, when consumed during pregnancy, can cause the fetus to exhibit periventricular cysts?",a.Nicotine.b.Cocaine.c.Alcohol.d.Raw meats.,"b. Cocaine can cause cerebral anatomical anomalies identiÞed on MRI including 
hemorrhage, grey matter reduction, and cysts.  Alcohol reduces the size of the 
cerebellum and basal ganglia.  Nicotine primarily affects dopamine and acetylcholine 
neurons.
"
66,"69. In preparing a lecture on bioterrorism for the hospital disaster response committee, the nurse must discuss infectious diseases that could be used during an attack.  Which of the following agents is not contagious?",a.Brucellosis.b.Q fever.c.Ricin.d.Plague. ,"c. Ricin is a protein cytotoxin derived from the beans of the castor plant and is not 
contagious.  Q fever is caused by rickettsia from cattle, sheep, and goats.  Brucellosis is 
a zoonotic disease typically transmitted through the consumption of raw meat.  The 
plague is naturally spread through rodents or their ßeas.  Standard precautions are used 
for the bubonic plague and droplet for the pneumonic strain. 
"
67,70. The nurse cares for a patient with congestive heart failure who is being treated with spironolactone.  The patient has developed hyperkalemia from overuse of this medication.  What is the most important nursing intervention for the patient?,a. Notify the physician and advocate for salbutamol and sodium bicarbonate.b. Administer calcium chloride and kayexalate as ordered.c. Request an ECG.d. Review diet for excess sources of potassium and encourage ßuid intake. ,"c. Arrhythmias are a potentially fatal result of hyperkalemia.  The Þrst step in the nursing 
process is assessment of the patient.  An ECG will help to evaluate the patientÕs heart 
rhythms to direct appropriate treatment. 
"
68,71. The nurse performs dietary education for an obese patient at the outpatient clinic.  Which of the following are not effective nursing assessments to evaluate the patientÕs knowledge of nutrition as it relates to body requirements?,a. Assess patientÕs ability to read food labels.b. Assess patientÕs ability to identify appropriate food portions.c. Assess patientÕs ability to estimate body weight.d. Assess patientÕs ability to plan a menu.,"c. Patients may be unaware of their actual weight.  The nurse should encourage the 
patient to weigh at the same time of day or same day of the week with the same 
clothing and using the same scale.  Charting progress can be an important motivational 
factor.  
"
69,72. An elderly patient has been walking infrequently and taking his meals in bed.  Which complication of immobility would indicate to the nurse that there is an impairment?,a. Increased urine output.b. An increase in blood pressure and decrease in heart rate upon standing.c. Decreased hematocrit.d. Impaired ability to coagulate.,"a. When a patient is supine, the shift of blood from the legs into the thorax increases 
atrial stretch, stimulating the release of ANP, causing diuresis.  This dehydration causes 
orthostatic hypotension, which creates an increase in heart rate and drop in blood 
pressure upon standing.  This also creates hypercoagulability, blood clots, and an 
increased hematocrit. 
"
70,73. The nurse cares for a patient 24 hours after a cardiac artery bypass graft (CABG).  What is the best nursing intervention that the nurse can perform to lessen the patientÕs pain during coughing and deep breathing exercises?,a. Administer pain medication.b. Offer the patient a pillow to hug.c. Have patient transfer to a chair.d. Remove epicardial pacing wires.,"b. Coughing and deep breathing is important for patients with cardiothoracic surgeries.  
The patient is less likely to cough if it causes pain so helping the patient to splint the 
incision will reduce tension.  Administering pain medication may help, but it threatens to 
lesson the patientÕs drive to both deep breath and cough.  Pain medication should not 
be the Þrst intervention.  Pulling the pericardial pacer wires is a painless procedure that 
typically creates a ÔpullingÕ or ÔtuggingÕ sensation. 
"
71,"74. The nurse cares for a patient in the neurology unit.  As the patient recovers from a traumatic car accident that permanently disabled his left leg, the nurse teaches him how to properly use a walker.  Which technique by the patient characterizes effective use of a walker?","a. The patientÕs arms are at a 90 degree angle while grasping the walker.b. The patient advances the walker followed by the left leg. c. When rising from a seated position, the patient uses the walker for support.d. The patient observes his feet to ensure proper technique.","b. The walker should be advanced followed by the injured leg for support.  Looking 
down creates a tripping risk.  Always look forward.  Using the walker for support while 
rising from a seated position can cause it to tip.  Use the chair to push off.  The walker 
handles should reach the waste, creating an approximately 30 degree angle at the 
elbows. 
"
72,75. The nurse suspects urinary retention in a patient with diabetes.  Which of the following is the most accurate way to assess urinary retention?,a. Observe elimination patterns.b. Palpate lower abdomen for distention.c. Catheterize and measure residual volume.d. Perform bladder ultrasound.,"c. Retention of urine in the bladder predisposes the patient to urinary tract infections.  
The most direct measure is to catheterize the patient for residual urine.  While bladder 
scanning and abdominal palpation can be symptoms, the actual diagnosis involves 
direct measurement of volume.
"
73,76. The nurse cares for a pediatric patient with cerebral palsy admitted with ßuid overload related to neurogenic bladder.  What physiological alterations would the nurse not anticipate?,a. Decreased sodium.b. Decreased ANP release.c. Decreased serum osmolality. d. Decreased potassium. ,"b. Fluid overload can cause dilution of electrolytes, especially sodium and potassium.  
Serum osmolality would decrease secondary to decreased solute in proportion to 
plasma volume.  Serum atrial natriuretic peptide (ANP) would increase in response to 
increased blood volume and atrial stretch.  
"
74,77. The nurse performs discharge teaching for a patient placed on a low-sodium diet following a recent diagnosis of hypertension.  Which dietary recommendations would be most suitable for this patient?,a. Seared salmon with watermelon and apricots.b. Turkey bacon with peanut butter toast.c. Chicken noodle soup with a side of frozen vegetables.d. Cottage cheese with a bagel. ,"a. Cottage cheese, frozen vegetables, reÞned ßour, peanuts, and canned soups contain 
a large amount of sodium.  Sodium can lead to water retention, which can create 
hypervolemia in patients with renal impairment. 
"
75,78. The nurse administers intermittent nasogastric bolus tube feedings to the patient.  The nurse prepares for the noon feedings by Þrst:,a. Positioning the patientÕs head of the bed at greater than 30 degrees.b. Flushing the nasogastric tube with 20 mL of warm water.c. Filling the bolus syringe with a small amount of test feeding.d. Measuring residual volume. ,"d. Tube feedings are contraindicated if the residual gastric volume is greater than 
100-150 mL in an adult.  With continuous tube feeding, a gastric residual volume greater 
than 2 times the hourly rate should cause the nurse to consider slowing or stopping the 
set rate. 
"
76,79. Which of the following nursing interventions would be most helpful for the patient with reduced cognitive abilities to avoid aspiration during mealtime?,a. Auscultate bowel sounds.b. Assess cough and gag reßex.c. Turn off the television.d. Keep suction available. ,"c. For patients with reduced cognitive abilities, removing distracting stimuli during 
mealtimes can help to avoid aspiration.  This facilitates concentration on chewing and 
swallowing. 
"
77,"80. The nurse enters the room while the patient appears to sleep comfortably.  With eyes closed, the patient requests pain medication.  What should the nurse do next?",a. Elicit further details about the character and duration of the pain.b. Help the patient with alternatives to pain medication such as deep breathing.c. Encourage the patient to rest and observe for more deÞnitive signs of pain.d. Accept the patientÕs interpretation and report of pain. ,"d. Inquiring further about the pain and offering alternatives are valid responses but the 
nurse must Þrst rely on the patient to be the most accurate source for reporting of pain.  
Pain is a subjective symptom with no true objective measurement.  The patient is the 
expert when it comes to the experience of his or her own pain. 
"
78,"81. A meal tray is placed next to the bed of a patient recovering from a Billroth operation.  Which food categories, if found on the meal tray, would not be in keeping with a gastrectomy diet?",a. Pork with pealed fruit.b. Fish seasoned with salt.c. Cereal & yogurt.d. Steamed broccoli.,"c. A gastrectomy diet is low in starches and sugar as these hyperosmolar foods can 
cause dumping syndrome.  Many patients develop lactose malabsorption following this 
surgery, which can cause diarrhea and gas. 
"
